class_name,superclass,instance_variable_order,indexed_storage_kind,relevant_pages,confidence,notes
Point,Object,"x|y","named only","pp. 340-343, 625",high,"XIndex=0; YIndex=1; ClassPointSize=2 (p.625); used by primitive 18 (makePoint)"
Rectangle,Object,"origin|corner","named only","pp. 343-348",high,"origin and corner are Points; RectangleOriginIndex=0; RectangleCornerIndex=1"
Form,DisplayMedium,"bits|width|height|offset","named only","pp. 338-339",high,"FormBitsIndex=0; FormWidthIndex=1; FormHeightIndex=2; FormOffsetIndex=3; bits points to Bitmap; offset is a Point"
Bitmap,ArrayedCollection,"(none named)","word indexable","pp. 331, 338",high,"Subclass of ArrayedCollection; stores 16-bit words; used as bits field of Form"
DisplayBitmap,Bitmap,"(none named)","word indexable","p. 331",medium,"Subclass of Bitmap; mentioned in class hierarchy; used for display memory"
DisplayScreen,Form,"(none named — inherits Form fields)","named only (inherited)","pp. 390-396, 651",high,"Subclass of Form; beDisplay (primitive 102) designates the display; screen updated ~60 times/second"
Cursor,Form,"(none named — inherits Form fields)","named only (inherited)","p. 651",high,"Subclass of Form; width and height always 16; beCursor (primitive 101)"
InfiniteForm,Object,"(not specified in detail)","named only","p. 330",low,"Mentioned in class hierarchy; provides infinite fill pattern"
OpaqueForm,Object,"(not specified in detail)","named only","p. 330",low,"Mentioned in class hierarchy"
BitBlt,Object,"destForm|sourceForm|halftoneForm|combinationRule|destX|destY|width|height|sourceX|sourceY|clipX|clipY|clipWidth|clipHeight","named only","pp. 349-351, 356",high,"14 named instance variables; order is critical for primitive 96; BitBltDestFormIndex=0 through BitBltClipHeightIndex=13"
CharacterScanner,BitBlt,"(additional fields beyond BitBlt — not fully specified in Part Four)","named only","pp. 354-355, 615",medium,"Subclass of BitBlt; scanCharacters primitive 103"
CompiledMethod,Object,"(special — header + literal frame + bytecodes)","byte indexable (special)","pp. 576-580",high,"HeaderIndex=0; LiteralStart=1; NOT homogeneous: header+literals are pointers then bytecodes are bytes; instance spec says non-pointer bytes but storage manager knows it has pointers too (p.591)"
MethodContext,Object,"sender|instructionPointer|stackPointer|method|(unused)|receiver","pointer indexable","pp. 580-584",high,"SenderIndex=0; InstructionPointerIndex=1; StackPointerIndex=2; MethodIndex=3; field 4 unused; ReceiverIndex=5; TempFrameStart=6; indexable fields hold temp frame + stack"
BlockContext,Object,"caller|instructionPointer|stackPointer|argumentCount|initialIP|home","pointer indexable","pp. 581-584",high,"CallerIndex=0; InstructionPointerIndex=1; StackPointerIndex=2; BlockArgumentCountIndex=3; InitialIPIndex=4; HomeIndex=5; indexable fields hold stack"
Message,Object,"selector|arguments","named only","p. 590",high,"MessageSelectorIndex=0; MessageArgumentsIndex=1; MessageSize=2"
Behavior,Object,"superclass|messageDictionary|instanceSpecification","named only","pp. 586-591",high,"SuperclassIndex=0; MessageDictionaryIndex=1; InstanceSpecificationIndex=2; other fields exist but only these 3 used by interpreter"
SmallInteger,(immediate),"(none — value encoded in pointer)","immediate","pp. 573, 660",high,"Bit 0 of pointer = 1; bits 1-15 = signed value; range -16384 to 16383"
LargePositiveInteger,Integer,"(none named)","byte indexable","p. 617",high,"Bytes store magnitude little-endian (byte 0 = low); 2-byte instances used for 16-bit positive values"
Association,LookupKey,"(key — inherited)|value","named only","p. 580",high,"ValueIndex=1; used for method class in literal frame"
ProcessorScheduler,Object,"processLists|activeProcess","named only","p. 641-642",high,"ProcessListsIndex=0; ActiveProcessIndex=1"
LinkedList,SequenceableCollection,"firstLink|lastLink","named only","p. 642",high,"FirstLinkIndex=0; LastLinkIndex=1"
Semaphore,LinkedList,"excessSignals","named only (+ inherited)","p. 642",high,"ExcessSignalsIndex=2 (after firstLink and lastLink)"
Process,Link,"suspendedContext|priority|myList","named only (+ inherited nextLink)","p. 642",high,"NextLinkIndex=0 (inherited from Link); SuspendedContextIndex=1; PriorityIndex=2; MyListIndex=3"
